Model,Resampler,Accuracy,Precision,Recall,F1 Score,AUC-ROC
ElasticNet,RandomUndersampling,0.7083524318818437,0.7231983144250131,0.9638984438984439,0.8262448685544115,0.5074982127086926
LDA,RandomUndersampling,0.6458025634496223,0.8319717517075305,0.6365110565110565,0.7206155759766505,0.6531477353967787
ExtraTrees,RandomUndersampling,0.6823274764451236,0.8547847955034593,0.6727927927927928,0.7522591288706565,0.689835569199714
QDA,RandomUndersampling,0.574212715389186,0.7443212899008392,0.6238984438984438,0.672667217859235,0.5351907144959838
GBM,RandomUndersampling,0.6614803497156438,0.8393495220934009,0.6546273546273547,0.7352172775859294,0.6668404895075486
ElasticNet,ROS,0.5182667006196418,0.7393469387755102,0.5227846027846028,0.5313531647152339,0.5147903612431136
LDA,ROS,0.665334012392836,0.7950794722970345,0.7215069615069615,0.7558168377016372,0.6212246099499558
ExtraTrees,ROS,0.7526016467192937,0.7582887564228497,0.9638656838656837,0.8486848025794135,0.586567980150553
QDA,ROS,0.7200492318139377,0.7200492318139377,1.0,0.837242269890236,0.5
GBM,ROS,0.7448349036584331,0.7949901900956056,0.8699099099099099,0.8305813666470998,0.6465284494722234
ElasticNet,SMOTE,0.5938035820388762,0.7321646823823807,0.6962162162162162,0.6542222329309525,0.5132175448925523
LDA,SMOTE,0.6627366097954334,0.7963035108491958,0.7142506142506143,0.7526936670733312,0.6222591362126246
ExtraTrees,SMOTE,0.7604362957304133,0.7906532256218879,0.9078296478296478,0.8448344893445533,0.6445855586862357
QDA,SMOTE,0.7200492318139377,0.7200492318139377,1.0,0.837242269890236,0.5
GBM,SMOTE,0.7656650539003479,0.8241388809258374,0.8589680589680591,0.8407207552156413,0.6922662853778543
ElasticNet,Baseline,0.7187505305152364,0.720264248585246,0.9963963963963964,0.8361073138193731,0.5005172631313344
LDA,Baseline,0.6679314149902384,0.784445635830773,0.7432104832104832,0.7628997016480913,0.6088187055805543
ExtraTrees,Baseline,0.7578134284016637,0.765697886913767,0.9566093366093366,0.8504770483862216,0.6015559947853147
QDA,Baseline,0.4193786605551312,0.7455095785440613,0.2968877968877969,0.4036138348519721,0.5157239581143026
GBM,Baseline,0.7656226126814362,0.7843430363682476,0.9313349713349715,0.8512259208110576,0.6354093948441902
