Model,Resampler,Accuracy,Precision,Recall,F1 Score,AUC-ROC
AdaBoost,RandomUndersampling,0.6046511627906976,0.3939393939393939,0.6046511627906976,0.4770642201834862,0.674209092813744
SVM,RandomUndersampling,0.6976744186046512,0.4838709677419355,0.6976744186046512,0.5714285714285715,0.4615545778336476
LDA,RandomUndersampling,0.5813953488372093,0.373134328358209,0.5813953488372093,0.4545454545454545,
Random Forest,RandomUndersampling,0.627906976744186,0.45,0.627906976744186,0.5242718446601942,0.71024512884978
Voting Classifier,RandomUndersampling,0.7674418604651163,0.4342105263157895,0.7674418604651163,0.5546218487394958,
AdaBoost with PCA,RandomUndersampling,0.7209302325581395,0.4428571428571428,0.7209302325581395,0.5486725663716814,0.7791745233605699
SVM with PCA,RandomUndersampling,0.7209302325581395,0.5849056603773585,0.7209302325581395,0.6458333333333333,0.8571129268803687
LDA with PCA,RandomUndersampling,0.7441860465116279,0.6037735849056604,0.7441860465116279,0.6666666666666666,
Random Forest with PCA,RandomUndersampling,0.7441860465116279,0.4444444444444444,0.7441860465116279,0.5565217391304347,0.7634611355541588
Voting Classifier with PCA,RandomUndersampling,0.7209302325581395,0.5740740740740741,0.7209302325581395,0.6391752577319588,0.8535512256442489
AdaBoost,ROS,0.4418604651162791,0.6333333333333333,0.4418604651162791,0.5205479452054794,0.8089252042740416
SVM,ROS,0.3488372093023256,0.7142857142857143,0.3488372093023256,0.46875,0.8146867798030588
LDA,ROS,0.5348837209302325,0.5111111111111111,0.5348837209302325,0.5227272727272726,
Random Forest,ROS,0.3255813953488372,0.6086956521739131,0.3255813953488372,0.4242424242424242,0.7546616383825686
Voting Classifier,ROS,0.4186046511627907,0.6206896551724138,0.4186046511627907,0.5,
AdaBoost with PCA,ROS,0.6046511627906976,0.5777777777777777,0.6046511627906976,0.5909090909090908,0.7967735177037503
SVM with PCA,ROS,0.5813953488372093,0.6578947368421053,0.5813953488372093,0.6172839506172839,0.8066205740624346
LDA with PCA,ROS,0.6976744186046512,0.5882352941176471,0.6976744186046512,0.6382978723404256,
Random Forest with PCA,ROS,0.3488372093023256,0.6818181818181818,0.3488372093023256,0.4615384615384615,0.8003352189398701
Voting Classifier with PCA,ROS,0.627906976744186,0.6923076923076923,0.627906976744186,0.6585365853658537,0.8707311963125917
AdaBoost,SMOTE,0.5348837209302325,0.5476190476190477,0.5348837209302325,0.5411764705882354,0.7684894196522103
SVM,SMOTE,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.5116279069767442,0.706892939451079
LDA,SMOTE,0.4883720930232558,0.2692307692307692,0.4883720930232558,0.347107438016529,
Random Forest,SMOTE,0.4186046511627907,0.6666666666666666,0.4186046511627907,0.5142857142857143,0.7455478734548502
Voting Classifier,SMOTE,0.5813953488372093,0.5102040816326531,0.5813953488372093,0.5434782608695652,
AdaBoost with PCA,SMOTE,0.6046511627906976,0.5531914893617021,0.6046511627906976,0.5777777777777778,0.7900691389063482
SVM with PCA,SMOTE,0.627906976744186,0.6428571428571429,0.627906976744186,0.6352941176470588,0.8114393463230672
LDA with PCA,SMOTE,0.6976744186046512,0.5660377358490566,0.6976744186046512,0.625,
Random Forest with PCA,SMOTE,0.4651162790697674,0.6060606060606061,0.4651162790697674,0.5263157894736842,0.8062015503875969
Voting Classifier with PCA,SMOTE,0.7674418604651163,0.6226415094339622,0.7674418604651163,0.6875,
AdaBoost,Baseline,0.3255813953488372,0.6363636363636364,0.3255813953488372,0.4307692307692308,0.7251204693065159
SVM,Baseline,0.3488372093023256,0.7142857142857143,0.3488372093023256,0.46875,0.816781898177247
LDA,Baseline,0.5581395348837209,0.5454545454545454,0.5581395348837209,0.5517241379310344,
Random Forest,Baseline,0.1627906976744186,0.5384615384615384,0.1627906976744186,0.25,0.6968363712549759
Voting Classifier,Baseline,0.3720930232558139,0.64,0.3720930232558139,0.4705882352941177,
AdaBoost with PCA,Baseline,0.4883720930232558,0.5675675675675675,0.4883720930232558,0.525,0.7844123192960403
SVM with PCA,Baseline,0.5116279069767442,0.6285714285714286,0.5116279069767442,0.5641025641025641,0.849989524408129
LDA with PCA,Baseline,0.5348837209302325,0.71875,0.5348837209302325,0.6133333333333333,
Random Forest with PCA,Baseline,0.1162790697674418,0.8333333333333334,0.1162790697674418,0.2040816326530612,0.7370626440393883
Voting Classifier with PCA,Baseline,0.4883720930232558,0.75,0.4883720930232558,0.5915492957746479,
