Model,Resampler,Accuracy,Precision,Recall,F1 Score,AUC-ROC
SVC,RandomUndersampling,0.7069688481453188,0.4853991664512794,0.7069767441860465,0.574204763439375,0.7070145927078515
GNB,RandomUndersampling,0.4683473389355742,0.3215028162994658,0.5953488372093023,0.3076502015225419,0.5074393372303293
stack,RandomUndersampling,0.5781257957728545,0.2089575289575289,0.1813953488372093,0.193535504412256,0.4568821228815342
logreg,ROS,0.6966301672184024,0.4734955465989948,0.6093023255813954,0.5307393180808438,0.66993145212162
RF,ROS,0.7591630591630592,0.6318044274566013,0.3441860465116279,0.4440155590989945,0.6323100214474957
XGB,ROS,0.7734487734487734,0.6492277992277992,0.4279069767441861,0.5134915288834455,0.6678413726397241
bagging,ROS,0.7031406501994738,0.4658000218925078,0.4418604651162791,0.4528074644893406,0.6232810463013583
LGB,ROS,0.7617180205415499,0.6117557746246494,0.413953488372093,0.4896485112563543,0.6554396736616341
KNN,ROS,0.7134453781512605,0.4930897243189601,0.455813953488372,0.4692081137616583,0.634778586147441
SVC,ROS,0.7434852728970376,0.5457439615976201,0.5116279069767442,0.5275598370676243,0.6726313133437066
GNB,ROS,0.3151175621763857,0.2832096189630436,0.944186046511628,0.4356848855435437,0.507355229404096
stack,ROS,0.7331041507512096,0.5768555828555828,0.2604651162790697,0.3387416505063564,0.5886412380672021
logreg,SMOTE,0.6745098039215687,0.4467000835421887,0.6232558139534883,0.5180232040314074,0.6588250136675217
RF,SMOTE,0.7513368983957219,0.578961038961039,0.4186046511627907,0.4851882634055121,0.649627822868918
XGB,SMOTE,0.7708513708513708,0.6165900383141762,0.4976744186046511,0.5474495121278544,0.6873543883258336
bagging,SMOTE,0.6927765045412103,0.4644048583216385,0.5441860465116279,0.5001996974469887,0.6473190630388158
LGB,SMOTE,0.7695187165775401,0.6148687333931921,0.4790697674418604,0.5341429670338209,0.6807645401404601
KNN,SMOTE,0.6418130888719125,0.4180960256747276,0.7023255813953488,0.5228310425558133,0.6603852138441482
SVC,SMOTE,0.7473983532807063,0.5526171228995362,0.5162790697674419,0.5332190619138409,0.6767652130030699
GNB,SMOTE,0.3151175621763857,0.2832096189630436,0.944186046511628,0.4356848855435437,0.507355229404096
stack,SMOTE,0.7525761819879466,0.6012428546059294,0.413953488372093,0.4759021489006362,0.6491105597375836
logreg,Baseline,0.740862405568288,0.5480722711952295,0.2976744186046511,0.3728559983133038,0.6054375709659784
RF,Baseline,0.7474238180120534,0.7040510366826156,0.1860465116279069,0.2906839514264955,0.575844232305816
XGB,Baseline,0.777336389101095,0.69406432748538,0.3767441860465116,0.4841335156421317,0.6549182051389881
bagging,Baseline,0.71484593837535,0.4924220354808589,0.3395348837209302,0.4001459430106667,0.6001471886959082
LGB,Baseline,0.7656395891690009,0.6479604284545034,0.372093023255814,0.4664555962282032,0.6453593506875814
KNN,Baseline,0.7134453781512605,0.4930897243189601,0.455813953488372,0.4692081137616583,0.634778586147441
SVC,Baseline,0.7460911637382226,0.5504228080263914,0.5162790697674419,0.5318630075858991,0.6758610538710628
GNB,Baseline,0.7200492318139377,0.0,0.0,0.0,0.5
stack,Baseline,0.7135472370766489,0.4,0.027906976744186,0.051156462585034,0.5040077379200135
AdaBoost,RandomUndersampling,0.6046511627906976,0.3939393939393939,0.6046511627906976,0.4770642201834862,0.674209092813744
SVM,RandomUndersampling,0.6976744186046512,0.4838709677419355,0.6976744186046512,0.5714285714285715,0.4615545778336476
LDA,RandomUndersampling,0.5813953488372093,0.373134328358209,0.5813953488372093,0.4545454545454545,
Random Forest,RandomUndersampling,0.627906976744186,0.45,0.627906976744186,0.5242718446601942,0.71024512884978
Voting Classifier,RandomUndersampling,0.7674418604651163,0.4342105263157895,0.7674418604651163,0.5546218487394958,
AdaBoost with PCA,RandomUndersampling,0.7209302325581395,0.4428571428571428,0.7209302325581395,0.5486725663716814,0.7791745233605699
SVM with PCA,RandomUndersampling,0.7209302325581395,0.5849056603773585,0.7209302325581395,0.6458333333333333,0.8571129268803687
LDA with PCA,RandomUndersampling,0.7441860465116279,0.6037735849056604,0.7441860465116279,0.6666666666666666,
Random Forest with PCA,RandomUndersampling,0.7441860465116279,0.4444444444444444,0.7441860465116279,0.5565217391304347,0.7634611355541588
Voting Classifier with PCA,RandomUndersampling,0.7209302325581395,0.5740740740740741,0.7209302325581395,0.6391752577319588,0.8535512256442489
AdaBoost,ROS,0.4418604651162791,0.6333333333333333,0.4418604651162791,0.5205479452054794,0.8089252042740416
